,season,n_episode,title_episode,character,line
0,1,1,pilot episode,Sheldon,"So if a photon is directed through a plane with two slits in it and either slit is observed it will not go through both slits. If it’s unobserved it will, however, if it’s observed after it’s left the plane but before it hits its target, it will not have gone through both slits."
1,1,1,pilot episode,Leonard,"Agreed, what’s your point?"
2,1,1,pilot episode,Sheldon,"There’s no point, I just think it’s a good idea for a tee-shirt."
3,1,1,pilot episode,Leonard,Excuse me?
4,1,1,pilot episode,Receptionist,Hang on.
5,1,1,pilot episode,Leonard,"One across is Aegean, eight down is Nabakov, twenty-six across is MCM, fourteen down is… move your finger… phylum, which makes fourteen across Port-au-Prince. See, Papa Doc’s capital idea, that’s Port-au-Prince. Haiti."
6,1,1,pilot episode,Receptionist,Can I help you?
7,1,1,pilot episode,Leonard,"Yes. Um, is this the High IQ sperm bank?"
8,1,1,pilot episode,Receptionist,"If you have to ask, maybe you shouldn’t be here."
9,1,1,pilot episode,Sheldon,I think this is the place.
10,1,1,pilot episode,Receptionist,Fill these out.
11,1,1,pilot episode,Leonard,Thank-you. We’ll be right back.
12,1,1,pilot episode,Receptionist,"Oh, take your time. I’ll just finish my crossword puzzle. Oh wait."
13,1,1,pilot episode,Sheldon,"Leonard, I don’t think I can do this."
14,1,1,pilot episode,Leonard,"What, are you kidding? You’re a semi-pro."
15,1,1,pilot episode,Sheldon,"No. We are committing genetic fraud. There’s no guarantee that our sperm is going to generate high IQ offspring, think about that. I have a sister with the same basic DNA mix who hostesses at Fuddruckers."
16,1,1,pilot episode,Leonard,"Sheldon, this was your idea. A little extra money to get fractional T1 bandwidth in the apartment."
17,1,1,pilot episode,Sheldon,"I know, and I do yearn for faster downloads, but there’s some poor woman is going to pin her hopes on my sperm, what if she winds up with a toddler who doesn’t know if he should use an integral or a differential to solve the area under a curve."
18,1,1,pilot episode,Leonard,I’m sure she’ll still love him.
19,1,1,pilot episode,Sheldon,I wouldn’t.
20,1,1,pilot episode,Leonard,"Well, what do you want to do?"
21,1,1,pilot episode,Sheldon,I want to leave.
22,1,1,pilot episode,Leonard,Okay.
23,1,1,pilot episode,Sheldon,What’s the protocol for leaving?
24,1,1,pilot episode,Leonard,"I don’t know, I’ve never reneged on a proffer of sperm before."
25,1,1,pilot episode,Sheldon,Let’s try just walking out.
26,1,1,pilot episode,Leonard,Okay.
27,1,1,pilot episode,Sheldon,Bye-bye
28,1,1,pilot episode,Leonard,See you.
29,1,1,pilot episode,Sheldon,Are you still mad about the sperm bank?
30,1,1,pilot episode,Leonard,No.
31,1,1,pilot episode,Sheldon,You want to hear an interesting thing about stairs?
32,1,1,pilot episode,Leonard,Not really.
33,1,1,pilot episode,Sheldon,"If the height of a single step is off by as little as two millimetres, most people will trip."
34,1,1,pilot episode,Leonard,I don’t care. Two millimetres? That doesn’t seem right.
35,1,1,pilot episode,Sheldon,"No, it’s true, I did a series of experiments when I was twelve, my father broke his clavicle."
36,1,1,pilot episode,Leonard,Is that why they sent you to boarding school?
37,1,1,pilot episode,Sheldon,"No, that was the result of my work with lasers."
38,1,1,pilot episode,Leonard,New neighbour?
39,1,1,pilot episode,Sheldon,Evidently.
40,1,1,pilot episode,Leonard,Significant improvement over the old neighbour.
41,1,1,pilot episode,Sheldon,"Two hundred pound transvestite with a skin condition, yes she is."
42,1,1,pilot episode,Penny,"Oh, hi!"
43,1,1,pilot episode,Leonard,Hi.
44,1,1,pilot episode,Sheldon,Hi.
45,1,1,pilot episode,Leonard,Hi.
46,1,1,pilot episode,Sheldon,Hi.
47,1,1,pilot episode,Penny,Hi?
48,1,1,pilot episode,Leonard,"We don’t mean to interrupt, we live across the hall."
49,1,1,pilot episode,Penny,"Oh, that’s nice."
50,1,1,pilot episode,Leonard,"Oh… uh… no… we don’t live together… um… we live together but in separate, heterosexual bedrooms."
51,1,1,pilot episode,Penny,"Oh, okay, well, guess I’m your new neighbour, Penny."
52,1,1,pilot episode,Leonard,"Leonard, Sheldon."
53,1,1,pilot episode,Penny,Hi.
54,1,1,pilot episode,Leonard,Hi.
55,1,1,pilot episode,Sheldon,Hi.
56,1,1,pilot episode,Penny,Hi.
57,1,1,pilot episode,Leonard,"Hi. Well, uh, oh, welcome to the building."
58,1,1,pilot episode,Penny,"Thankyou, maybe we can have coffee sometime."
59,1,1,pilot episode,Leonard,"Oh, great."
60,1,1,pilot episode,Penny,Great.
61,1,1,pilot episode,Sheldon,Great.
62,1,1,pilot episode,Leonard,"Great. Well, bye."
63,1,1,pilot episode,Penny,Bye.
64,1,1,pilot episode,Sheldon,Bye.
65,1,1,pilot episode,Leonard,Bye.
66,1,1,pilot episode,Leonard,Should we have invited her for lunch?
67,1,1,pilot episode,Sheldon,No. We’re going to start Season Two of Battlestar Galactica.
68,1,1,pilot episode,Leonard,We already watched the Season Two DVDs.
69,1,1,pilot episode,Sheldon,Not with commentary.
70,1,1,pilot episode,Leonard,"I think we should be good neighbours, invite her over, make her feel welcome."
71,1,1,pilot episode,Sheldon,We never invited Louis-slash-Louise over.
72,1,1,pilot episode,Leonard,"Well, then that was wrong of us. We need to widen our circle."
73,1,1,pilot episode,Sheldon,I have a very wide circle. I have 212 friends on myspace.
74,1,1,pilot episode,Leonard,"Yes, and you’ve never met one of them."
75,1,1,pilot episode,Sheldon,That’s the beauty of it.
76,1,1,pilot episode,Leonard,I’m going to invite her over. We’ll have a nice meal and chat.
77,1,1,pilot episode,Sheldon,Chat? We don’t chat. At least not offline.
78,1,1,pilot episode,Leonard,"Well it’s not difficult, you just listen to what she says and then you say something appropriate in response."
79,1,1,pilot episode,Sheldon,To what end?
80,1,1,pilot episode,Leonard,Hi. Again.
81,1,1,pilot episode,Penny,Hi.
82,1,1,pilot episode,Sheldon,Hi.
83,1,1,pilot episode,Leonard,Hi.
84,1,1,pilot episode,Penny,Hi.
85,1,1,pilot episode,Leonard,"Anyway, um. We brought home Indian food. And, um. I know that moving can be stressful, and I find that when I’m undergoing stress, that good food and company can have a comforting effect. Also, curry is a natural laxative, and I don’t have to tell you that, uh, a clean colon is just one less thing to worry about."
86,1,1,pilot episode,Sheldon,"Leonard, I’m not expert here but I believe in the context of a luncheon invitation, you might want to skip the reference to bowel movements."
87,1,1,pilot episode,Penny,"Oh, you’re inviting me over to eat?"
88,1,1,pilot episode,Leonard,"Uh, yes."
89,1,1,pilot episode,Penny,"Oh, that’s so nice, I’d love to."
90,1,1,pilot episode,Leonard,Great.
91,1,1,pilot episode,Penny,"So, what do you guys do for fun around here?"
92,1,1,pilot episode,Sheldon,"Well, today we tried masturbating for money."
93,1,1,pilot episode,Leonard,"Okay, well, make yourself at home."
94,1,1,pilot episode,Penny,"Okay, thankyou."
95,1,1,pilot episode,Leonard,You’re very welcome.
96,1,1,pilot episode,Penny,"This looks like some serious stuff, Leonard, did you do this?"
97,1,1,pilot episode,Sheldon,Actually that’s my work.
98,1,1,pilot episode,Penny,Wow.
99,1,1,pilot episode,Sheldon,"Yeah, well, it’s just some quantum mechanics, with a little string theory doodling around the edges. That part there, that’s just a joke, it’s a spoof of the Bourne-Oppenheimer approximation."
100,1,1,pilot episode,Penny,"So you’re like, one of those, beautiful mind genius guys."
101,1,1,pilot episode,Sheldon,Yeah.
102,1,1,pilot episode,Penny,This is really impressive.
103,1,1,pilot episode,Leonard,"I have a board. If you like boards, this is my board."
104,1,1,pilot episode,Penny,Holy smokes.
105,1,1,pilot episode,Sheldon,"If by holy smokes you mean a derivative restatement of the kind of stuff you can find scribbled on the wall of any men’s room at MIT, sure."
106,1,1,pilot episode,Leonard,What?
107,1,1,pilot episode,Sheldon,"Oh, come on. Who hasn’t seen this differential below “here I sit broken hearted?”"
108,1,1,pilot episode,Leonard,At least I didn’t have to invent twenty-six dimensions just to make the math come out.
109,1,1,pilot episode,Sheldon,"I didn’t invent them, they’re there."
110,1,1,pilot episode,Leonard,In what universe?
111,1,1,pilot episode,Sheldon,"In all of them, that is the point."
112,1,1,pilot episode,Penny,"Uh, do you guys mind if I start?"
113,1,1,pilot episode,Sheldon,"Um, Penny, that’s where I sit."
114,1,1,pilot episode,Penny,"So, sit next to me."
115,1,1,pilot episode,Sheldon,"No, I sit there."
116,1,1,pilot episode,Penny,What’s the difference?
117,1,1,pilot episode,Sheldon,What’s the difference?
118,1,1,pilot episode,Leonard,Here we go.
119,1,1,pilot episode,Sheldon,"In the winter that seat is close enough to the radiator to remain warm, and yet not so close as to cause perspiration. In the summer it’s directly in the path of a cross breeze created by open windows there, and there. It faces the television at an angle that is neither direct, thus discouraging conversation, nor so far wide to create a parallax distortion, I could go on, but I think I’ve made my point."
