,season,n_episode,title_episode,character,line,clean_line,set
0,1,1,pilot episode,Sheldon,"So if a photon is directed through a plane with two slits in it and either slit is observed it will not go through both slits. If it’s unobserved it will, however, if it’s observed after it’s left the plane but before it hits its target, it will not have gone through both slits.",photon direct plane slit slit observe slit unobserved observe left plane hit target go slit,train
1,1,1,pilot episode,Leonard,"Agreed, what’s your point?",agree point,train
2,1,1,pilot episode,Sheldon,"There’s no point, I just think it’s a good idea for a tee-shirt.",point think good idea tee shirt,dev
3,1,1,pilot episode,Leonard,Excuse me?,Excuse,train
5,1,1,pilot episode,Leonard,"One across is Aegean, eight down is Nabakov, twenty-six across is MCM, fourteen down is… move your finger… phylum, which makes fourteen across Port-au-Prince. See, Papa Doc’s capital idea, that’s Port-au-Prince. Haiti.",Aegean Nabakov MCM finger phylum make Port au Prince Papa Doc capital idea Port au Prince Haiti,train
7,1,1,pilot episode,Leonard,"Yes. Um, is this the High IQ sperm bank?",high IQ sperm bank,train
9,1,1,pilot episode,Sheldon,I think this is the place.,think place,dev
11,1,1,pilot episode,Leonard,Thank-you. We’ll be right back.,thank right,dev
13,1,1,pilot episode,Sheldon,"Leonard, I don’t think I can do this.",think,dev
14,1,1,pilot episode,Leonard,"What, are you kidding? You’re a semi-pro.",kidding semi pro,train
15,1,1,pilot episode,Sheldon,"No. We are committing genetic fraud. There’s no guarantee that our sperm is going to generate high IQ offspring, think about that. I have a sister with the same basic DNA mix who hostesses at Fuddruckers.",commit genetic fraud guarantee sperm go generate high iq offspring think sister basic dna mix hostesse fuddrucker,train
16,1,1,pilot episode,Leonard,"Sheldon, this was your idea. A little extra money to get fractional T1 bandwidth in the apartment.",Sheldon idea little extra money fractional bandwidth apartment,dev
17,1,1,pilot episode,Sheldon,"I know, and I do yearn for faster downloads, but there’s some poor woman is going to pin her hopes on my sperm, what if she winds up with a toddler who doesn’t know if he should use an integral or a differential to solve the area under a curve.",know yearn faster download poor woman go pin hope sperm wind toddler know use integral differential solve area curve,train
18,1,1,pilot episode,Leonard,I’m sure she’ll still love him.,love,train
19,1,1,pilot episode,Sheldon,I wouldn’t.,,train
20,1,1,pilot episode,Leonard,"Well, what do you want to do?",want,train
21,1,1,pilot episode,Sheldon,I want to leave.,want leave,dev
22,1,1,pilot episode,Leonard,Okay.,,dev
23,1,1,pilot episode,Sheldon,What’s the protocol for leaving?,protocol leave,train
24,1,1,pilot episode,Leonard,"I don’t know, I’ve never reneged on a proffer of sperm before.",know renege proffer sperm,train
25,1,1,pilot episode,Sheldon,Let’s try just walking out.,let try walk,train
26,1,1,pilot episode,Leonard,Okay.,,dev
27,1,1,pilot episode,Sheldon,Bye-bye,,train
28,1,1,pilot episode,Leonard,See you.,,train
29,1,1,pilot episode,Sheldon,Are you still mad about the sperm bank?,mad sperm bank,dev
30,1,1,pilot episode,Leonard,No.,,train
31,1,1,pilot episode,Sheldon,You want to hear an interesting thing about stairs?,want hear interesting thing stair,dev
32,1,1,pilot episode,Leonard,Not really.,,train
33,1,1,pilot episode,Sheldon,"If the height of a single step is off by as little as two millimetres, most people will trip.",height single step little millimetre people trip,train
34,1,1,pilot episode,Leonard,I don’t care. Two millimetres? That doesn’t seem right.,care millimetre right,train
35,1,1,pilot episode,Sheldon,"No, it’s true, I did a series of experiments when I was twelve, my father broke his clavicle.",true series experiment father break clavicle,train
36,1,1,pilot episode,Leonard,Is that why they sent you to boarding school?,send boarding school,train
37,1,1,pilot episode,Sheldon,"No, that was the result of my work with lasers.",result work laser,train
38,1,1,pilot episode,Leonard,New neighbour?,new neighbour,train
39,1,1,pilot episode,Sheldon,Evidently.,evidently,train
40,1,1,pilot episode,Leonard,Significant improvement over the old neighbour.,significant improvement old neighbour,train
41,1,1,pilot episode,Sheldon,"Two hundred pound transvestite with a skin condition, yes she is.",pound transvestite skin condition,train
42,1,1,pilot episode,Penny,"Oh, hi!",,dev
43,1,1,pilot episode,Leonard,Hi.,,train
44,1,1,pilot episode,Sheldon,Hi.,,train
45,1,1,pilot episode,Leonard,Hi.,,dev
46,1,1,pilot episode,Sheldon,Hi.,,train
47,1,1,pilot episode,Penny,Hi?,,train
48,1,1,pilot episode,Leonard,"We don’t mean to interrupt, we live across the hall.",mean interrupt live hall,train
49,1,1,pilot episode,Penny,"Oh, that’s nice.",nice,train
50,1,1,pilot episode,Leonard,"Oh… uh… no… we don’t live together… um… we live together but in separate, heterosexual bedrooms.",live live separate heterosexual bedroom,dev
51,1,1,pilot episode,Penny,"Oh, okay, well, guess I’m your new neighbour, Penny.",guess new neighbour Penny,train
52,1,1,pilot episode,Leonard,"Leonard, Sheldon.",Leonard Sheldon,train
53,1,1,pilot episode,Penny,Hi.,,train
54,1,1,pilot episode,Leonard,Hi.,,dev
55,1,1,pilot episode,Sheldon,Hi.,,dev
56,1,1,pilot episode,Penny,Hi.,,train
57,1,1,pilot episode,Leonard,"Hi. Well, uh, oh, welcome to the building.",welcome building,train
58,1,1,pilot episode,Penny,"Thankyou, maybe we can have coffee sometime.",thankyou maybe coffee,train
59,1,1,pilot episode,Leonard,"Oh, great.",great,train
60,1,1,pilot episode,Penny,Great.,great,train
61,1,1,pilot episode,Sheldon,Great.,great,train
62,1,1,pilot episode,Leonard,"Great. Well, bye.",great,train
63,1,1,pilot episode,Penny,Bye.,Bye,train
64,1,1,pilot episode,Sheldon,Bye.,Bye,train
65,1,1,pilot episode,Leonard,Bye.,Bye,dev
66,1,1,pilot episode,Leonard,Should we have invited her for lunch?,invite lunch,train
67,1,1,pilot episode,Sheldon,No. We’re going to start Season Two of Battlestar Galactica.,go start Season Battlestar Galactica,train
68,1,1,pilot episode,Leonard,We already watched the Season Two DVDs.,watch Season dvd,train
69,1,1,pilot episode,Sheldon,Not with commentary.,commentary,train
70,1,1,pilot episode,Leonard,"I think we should be good neighbours, invite her over, make her feel welcome.",think good neighbour invite feel welcome,train
71,1,1,pilot episode,Sheldon,We never invited Louis-slash-Louise over.,invite Louis slash Louise,train
72,1,1,pilot episode,Leonard,"Well, then that was wrong of us. We need to widen our circle.",wrong need widen circle,dev
73,1,1,pilot episode,Sheldon,I have a very wide circle. I have 212 friends on myspace.,wide circle friend myspace,train
74,1,1,pilot episode,Leonard,"Yes, and you’ve never met one of them.",meet,train
75,1,1,pilot episode,Sheldon,That’s the beauty of it.,beauty,train
